N,M,NIST_pass_status_1,NIST_pass_status_2,NIST_pass_status_3,NIST_pass_status_4,NIST_pass_status_5,NIST_pass_status_6,NIST_pass_status_7,NIST_pass_status_8,NIST_pass_status_9,NIST_pass_status_10,NIST_pass_status_11,NIST_pass_status_12,NIST_pass_status_13,NIST_pass_status_14,NIST_pass_status_15,NIST_pass_rate,autocorr_pass_status,autocorr_coefficient,runs_pass_status,runs_p_value
19,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.010077010077010076,0,7.065215930550218e-24
19,2,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.009695009695009695,0,0.0
19,3,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,46.666666666666664,1,0.009995009995009995,0,1.6196557321770192e-23
19,4,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,40.0,1,0.00999900999901,0,1.6682696237872962e-23
19,5,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.00939100939100939,0,6.471989090729209e-21
19,6,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,40.0,1,0.009813009813009813,0,0.0
19,7,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008669008669008669,0,4.398414253993228e-18
19,8,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,40.0,1,0.009145009145009144,0,6.849526114425022e-20
19,9,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.011913011913011914,0,1.0634779364214819e-32
19,10,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.01038101038101038,0,3.2328481497071575e-25
19,11,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009629009629009628,0,6.245122131636138e-22
19,12,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.009575009575009575,0,1.1273807977664736e-21
19,13,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.009423009423009422,0,4.478267442710803e-21
19,14,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.007243007243007243,0,4.569023220621149e-13
19,15,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,40.0,1,0.007363007363007363,0,0.0
19,16,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,60.0,1,0.009381009381009381,0,6.837680663805741e-21
19,17,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,46.666666666666664,1,0.009905009905009905,0,0.0
19,18,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.00806900806900807,0,0.0
20,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008495008495008494,0,2.0167158552342528e-17
20,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,46.666666666666664,1,0.008751008751008751,0,0.0
20,2,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.00952100952100952,0,1.97999587087241e-21
20,3,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,46.666666666666664,1,0.00891100891100891,0,5.167386709177185e-19
20,4,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008395008395008395,0,0.0
